Structure [idcode]	Molecule Name	Name	Basic_pKa_greater5	Acidic_pKa_lower9	CNS-Kind	Molweight	cLogP	cLogS	cLogD (pH=7.4)	H-Acceptors	H-Donors	Total Surface Area	Molecular Flexibility	Molecular Complexity	Non-H Atoms	Binned Molweight	
fi{P@`CQADDBAQ@xcHhhdihThdeBefRbeoXHJJjiP@bH\h@@	Compound 121	Butoconazole	6.51		non-CNS	411.783	5.9859	-5.62	5.8923	2	0	298.27	0.55332	0.72768	25	400 <= x < 425	
fag``@H`mdTRTrdRbRqrbhrQoQBeoX@JjjjjjJh@@	Compound 122	Butorphanol	10.37		CNS	327.466	3.1437	-3.838	-0.1601	3	2	239.44	0.31712	0.94743	24	325 <= x < 350	
fdy@P@@HHkHheDdhcLeHpXmPPL@@@@@	Compound 123	Benzoyl peroxide			non-CNS	242.229	3.0506	-3.41	3.0506	4	0	188.52	0.56948	0.55886	18	225 <= x < 250	
egdQ@@@@LBFNaemldTVrTTTTRRVqRbVEEgdUVSQusUS@@@A@tuPD@`qMP	Compound 124	Bisantrene hydrochloride	6.21		non-CNS	398.473	3.5568	-7.46	3.5296	8	4	311.8	0.28525	0.83562	30	375 <= x < 400	
ehRZD@@DLG@o`NLbbbTRtVRTRbRaRRt|bFVnA^~ZjZjjjjhIAbb@@@	Compound 125	Cabergoline	9.32		CNS	451.613	3.0883	-3.176	1.1625	7	2	357.19	0.48833	0.95548	33	450 <= x < 475	
fk@`@@GrJQEJJZQIF[JJKHwhyWnjjjjjfffjj@bLV@	Compound 126	Calcidiol			non-CNS	400.644	6.8167	-5.545	6.8167	2	2	329.09	0.43494	0.84517	29	400 <= x < 425	
eghPL@@@IElbbbTrJbbTbubrfc@`RTQQuuTsTuUUUMUUPFCDi]P	Compound 127	Calcipotriol			non-CNS	412.612	5.1955	-5.055	5.1955	3	3	323.49	0.37312	0.84166	30	400 <= x < 425	
eg`PL@@@MklbdQRbfdRQfrbbtQgdVRquUUUUUMMMUU@HQQT@	Compound 128	Calcitriol			non-CNS	416.643	5.9646	-5.146	5.9646	3	3	334.18	0.43326	0.85945	30	400 <= x < 425	
ejQXN@@D@DlbaiolbbTbbRRLVbVRbbJRfRTt\b^AqIZjjjjiji``bjhhCJ@@	Compound 129	Candoxatril		4.29	non-CNS	515.645	3.5566	-4.889	0.44168	8	2	400.39	0.54449	0.81047	37	500 <= x < 525	
dg^L`Fh{@HrIQPqQJKmTuUM@@	Compound 130	Captopril		4.02	non-CNS	217.288	0.366	-1.715	-3.0155	4	1	160.31	0.52121	0.66621	14	200 <= x < 225	
deeDBLXDZTf]ZZjj@@	Compound 131	Carbachol			non-CNS	147.197	-3.7317	-0.008	-3.7317	4	1	119.95	0.72209	0.48648	10	125 <= x < 150	
fdeQ@@DXAdTTtTTRbqUXp_QZh@``A@@@	Compound 132	Carbamazepine			CNS	236.273	3.1187	-5.267	3.1187	3	1	182.59	0.19405	0.75107	18	225 <= x < 250	
fegPr@FJtZwjm@DYHiEDTheYhhhd\LyH\zjjifZ`XB`@@	Compound 133	Carbenicillin		3.11	non-CNS	378.404	0.6887	-1.88	-3.6045	8	3	254.14	0.44764	0.90297	26	375 <= x < 400	
f`aPP@B\@bwlbfdRLRTIgMUT@QDLD@@	Compound 134	Carbidopa	5.64	3.6	CNS	226.231	-0.8973	-1.335	-4.7081	6	5	166.47	0.65469	0.65055	16	225 <= x < 250	
dcMD`DpY@HrJJJJMTsUTuH@@	Compound 135	Carbimazole			non-CNS	186.234	0.7234	-1.709	0.7234	4	0	145.84	0.40676	0.66172	12	175 <= x < 200	
eb~zN@@DJNdYPMGDgf\|bbTTRTRbfdTtRzVbaaRbrbbRRrVRuwj\^[UUTtpUUPTMUTuAPTTD@@@	Compound 136	Carfilzomib			non-CNS	719.921	2.513	-4.57	2.5114	12	4	576.63	0.5523	0.85485	52	700 <= x < 725	
fdqPP@LQ@`p\bbRTTaVRcUUUUSPYP@	Compound 137	Carisoprodol			CNS	260.333	2.1124	-3.057	2.1124	6	2	215.97	0.66517	0.58491	18	250 <= x < 275	
dcwDPLHVxHcXcHdheBeURuP@@	Compound 138	Carmustine			non-CNS	214.051	0.9193	-1.665	0.91929	5	1	156.69	0.74617	0.61821	12	200 <= x < 225	
egh\DH@NBedk`@aJYfUWwYvuuhxdlt\fVh@`BBijjjjB@@@	Compound 139	Carphenazine	7.78		CNS	425.595	3.8845	-4.381	3.1335	5	1	328.37	0.47344	0.8512	30	425 <= x < 450	
ehZRH@@DBKD`LbfdTRRVvRTTTTRbQTlL\Vnv~^AZjjjjjh@HHBh@@@	Compound 140	Carpipramine	8.92		CNS	446.637	4.1489	-4.72	2.3252	5	1	352.74	0.48467	0.81672	33	425 <= x < 450	
fncpr@LB[jsoAJ@HrQQJIIIJZJjHgJLjjjffZfy@@	Compound 141	Cefacetrile		3.11	non-CNS	339.327	-1.0173	-1.341	-5.1119	9	2	236.27	0.46775	0.90348	23	325 <= x < 350	
fakpQ@BVcIVo@bFAFQQQJJZMJZZII`aF[vZjfZfh@J@@@	Compound 142	Cefaclor	7.23	2.83	non-CNS	367.812	-2.0489	-2.25	-6.4223	7	3	243.23	0.43126	0.87896	24	350 <= x < 375	
fegPq@LBuYw`e@DMBLdTRbRRRfbjbaQNTXN]UUTtsTtuJ@@	Compound 143	Cefalotin		3.43	non-CNS	396.443	0.5912	-2.068	-3.183	8	2	270.26	0.4828	0.91217	26	375 <= x < 400	
eodVJD@LAJfiemGO@l`@bpHrQQJIIIJZJqSQJITcbabYZyzjjjZYjfBhBT@@@	Compound 144	Cefamandole		3.13	non-CNS	462.510	-0.2126	-2.419	-4.2884	11	3	314.39	0.43697	0.92638	31	450 <= x < 475	
ek`QBL@LALjfiemmGO@`@bpHJBLdTRbRRRfbjbbRRHxhXFfVvjjjffZijeiX@@	Compound 145	Cefazolin		2.83	non-CNS	454.515	-1.0017	-2.12	-5.3753	12	2	302.76	0.47913	0.91991	29	450 <= x < 475	
fegiQ@LBSV^g^BT@PLHrQQJIIIJZNISIDyQgQuUUSKLuKTpHQP	Compound 146	Cefdinir		3.05	non-CNS	395.419	3.0002e-4	-2.753	-5.6666	10	4	263.87	0.41994	0.92659	26	375 <= x < 400	
ehRVJL@LALam`]GO@n`@bhH~BLdTRbRRRfblTRbTRSHxhXVv^~jjjfVZZZZijV@PLdd	Compound 147	Cefditoren		2.98	non-CNS	506.587	0.9651	-3.559	-3.0396	11	3	348.46	0.37747	0.94648	33	500 <= x < 525	
eiSVNL@LABekj]GO@ailP@ahHQBLdTRbRRRfbvbbRbTRRlqdHxhXNnaQjjjfVZffijifjiXA@rrP	Compound 148	Cefditoren pivoxil			non-CNS	620.730	2.7855	-5.026	2.7853	13	2	440.81	0.4267	0.96055	41	600 <= x < 625	
eg`ZND@LADjmmGO@bck`@bXHrQQJIIIJZNIQIIZD\TLCSUUUSKLuLuMLAAD`	Compound 149	Cefixime		2.9	non-CNS	453.455	-0.6664	-2.532	-8.3714	12	4	305.38	0.43008	0.93464	30	450 <= x < 475	
ehRYJL@LALjfaem`]GO@n`@bpH~BLdTRbRRRfblTRbTRSHxhXVv^~jjjffZYjZijV@`RP	Compound 150	Cefmenoxime		2.87	non-CNS	511.567	-0.3745	-3.36	-4.7378	14	3	343.99	0.42855	0.9463	33	500 <= x < 525	
eg`^JL@LIFniekaC@hd`@cpHjBLdTRbbRRRabjbRbiGECDruUUUMSMSUUr`@@	Compound 151	Cefmetazole		3.18	non-CNS	471.542	-0.6756	-2.398	-4.6931	12	2	322.67	0.54056	0.97017	30	450 <= x < 475	
elVVAL@JFAEOAhDLBjfec`@bPHbBLddjbTvTTRbfcRffbRDTbrrzaQVjfZZjfZfh@J`@@	Compound 152	Cefonicid		2.92	non-CNS	542.573	-1.8412	1.413	-10.86	14	4	350.82	0.48492	0.92572	35	525 <= x < 550	
ecPyAD@LALjfemgi]GO@kb^QP@bpHrQQJIIIJZJqQJIQQIqZIZUD\TLK[@xlruUUSSMTtESAPuMTi@@@	Compound 153	Cefoperazone		3.19	non-CNS	645.676	-1.2001	-2.047	-5.2164	17	4	439.74	0.46493	0.96594	44	625 <= x < 650	
elV^FD@LABjai`]GO@hTP@bpHrQQJIIIJZJjJIQQEKPcba`ZZ{zjjjZYjXJbHfe@@@	Compound 154	Ceforanide	8.93	2.46	non-CNS	519.562	-2.8847	-2.407	-7.7338	13	4	357.18	0.50774	0.93607	35	500 <= x < 525	
eg`ZND@LALakmKGO@jn`@`xHrQQJIIIJZJqQJEKD\TL[GUUUSSMLuLuLA@d`	Compound 155	Cefotaxime		3.03	non-CNS	455.471	-0.5074	-2.451	-4.7301	12	3	309.01	0.43539	0.9389	30	450 <= x < 475	
eb^^AB@LINaemlQC@hd`XTP@cpHjBF`cIEDhhdddhXkEEeEXhhQqPpuLmmUUUSTsUMUMLtraABD@@	Compound 156	Cefotetan		3.03	non-CNS	575.627	-0.575	-1.896	-4.7437	15	4	363.22	0.47942	0.98524	36	575 <= x < 600	
edZYBL@LABjfaigomGO@`@bpHNBLdTRbRRRfbjbbTRJvaGEC@tvquUUTtsTtuMUTl@@@	Compound 157	Cefotiam	8.35	2.76	non-CNS	525.638	-1.8752	-1.928	-6.4803	13	3	362.6	0.52834	0.93173	34	525 <= x < 550	
fcoqq@LRzHw`qRt@PLHrQQJJIIIJFJjJEDyQb}uUUTuLuMMR`@@	Compound 158	Cefoxitin		3.39	non-CNS	427.457	-0.0143	-2.142	-3.8277	10	3	286.69	0.50843	0.97001	28	425 <= x < 450	
fcohq@LBrw^kN|Fh@aXQdbbTRRRTtUfTRVIrcIkjjjffZZfZfAAJ@	Compound 159	Cefpodoxime		3.08	non-CNS	427.461	-0.5641	-2.169	-4.7467	11	3	291.26	0.43402	0.93443	28	425 <= x < 450	
fmwqR@LBsiw`k@DYHheDddeMEXXdlSeFCgUUULluP@T`HF`	Compound 160	Cefprozil	7.22	3.3	non-CNS	389.431	-1.7171	-1.699	-5.5878	8	4	272.92	0.42998	0.91527	27	375 <= x < 400	
fakpR@LBcjso@BLdTRbRRttltRQNTXwmUUTsMSUR`@@	Compound 161	Cefradine	7.6	3.27	non-CNS	349.410	-2.003	-1.801	-5.9382	7	3	245.54	0.43704	0.90551	24	325 <= x < 350	
ejQVNDHLAKBid]GO@alRP@axHlgIEDhdddihiXdeEdmHmBNJFNmkgjjjiifA`iIjiiHBCI@	Compound 162	Ceftazidime		2.68	non-CNS	547.592	-4.1815	-2.315	-8.8125	13	4	372.83	0.45453	0.94855	37	525 <= x < 550	
fmwHq@LBRMQkNfl@PtHrQQJKIJZVJIIKPgJLjvjjifZYfii`PB`	Compound 163	Ceftibuten		3.13	non-CNS	410.430	-0.7123	-1.743	-5.1255	10	4	274.37	0.44622	0.90348	27	400 <= x < 425	
fi{iQ@LBCdZcV\d@QtHrQQJKIJZVIQIXgJL[vjjifYjYjXDOH	Compound 164	Ceftizoxime		2.98	non-CNS	383.408	-0.5055	-2.424	-4.7766	10	3	257.03	0.41659	0.89747	25	375 <= x < 400	
eb^QNLHLALjfaed]GO@nh\P@bpH~BJirQQJIIIJZJqQJJIIK[D\TLG@o_UUUSSMLuMTtsM@PIH	Compound 165	Ceftriaxone sodium		2.98	non-CNS	555.596	-3.0946	-0.956	-7.3063	15	5	356.68	0.47268	0.95934	36	550 <= x < 575	
fkHJ@LBrwUg^CWhpAFRJIQIIISQVJIPiDyQfsuUUSSMLuMThHIP	Compound 166	Cefuroxime		2.96	non-CNS	424.389	-0.7728	-2.563	-5.0234	12	3	291.74	0.46694	0.93298	29	400 <= x < 425	
elZREH@LABnmKGO@faemhP@cIEDhdddihmhhheCdeBNJFO`ZjjiififjfjZTBCI@	Compound 167	Cefuroxime axetil			non-CNS	510.479	-0.1617	-3.215	-0.16183	14	2	360.16	0.49553	0.95297	35	500 <= x < 525	
fakpR@LBcjso@BLdTRbRRttltRQNTXwmUUTsMP@R@@@	Compound 168	Cephalexin	7.23	3.26	non-CNS	347.394	-2.028	-1.683	-5.976	7	3	240.07	0.42614	0.89639	24	325 <= x < 350	
fcopr@LBsjsoAj@HrQQJIIIJZJqSPiDyQb}uUUSSMTp@R@@@	Compound 169	Cephaloglycin	7.23	3.15	non-CNS	405.430	-2.4701	-1.586	-6.5312	9	3	281.58	0.44463	0.91784	28	400 <= x < 425	
fcopq@LBwjsoAJ@HrDYHheDddeMEUDXdb\hq^zjjiifih@I@@@	Compound 170	Cephapirin		3.36	non-CNS	423.469	-0.0616	-1.84	-3.921	9	2	290.57	0.52406	0.90777	28	400 <= x < 425	
f`aa`@D@IqInvuURTZjZff`HUV`	Compound 171	Cerulenin			non-CNS	223.271	0.9151	-2.114	0.9151	4	1	193.21	0.71683	0.57505	16	200 <= x < 225	
dk~H`Ep@cIEDXhdli]Tzjjjj`@	Compound 172	Cevimeline	8.59		non-CNS	199.317	1.686	-1.468	0.46469	2	0	141.02	0.20428	0.74421	13	175 <= x < 200	
fly`a@LQRBHuDYDeEDddTdhhuUAAETp@@	Compound 173	Chlorambucil		4.45	non-CNS	304.216	3.2192	-3.572	0.27426	3	1	234.82	0.71611	0.60487	19	300 <= x < 325	
fbeQQBJQIKR\`bDQDYsrS]lsvnw`uMUT@Dp@@	Compound 174	Chloramphenicol			non-CNS	323.131	-0.4248	-2.367	-0.68123	7	3	220.94	0.60503	0.66888	20	300 <= x < 325	
fj}qBBAJShDPJ]]dTRTtRbbJRuNF}GL@PuPHQD@@@	Compound 175	Chlordiazepoxide	7.06		CNS	299.760	2.947	-2.188	2.9032	4	1	224.23	0.29022	0.8534	21	275 <= x < 300	
ed\U@D@NIECKBfnie`HbFHRYWVvuUUmme^acxF@Bffjjiih@H@@@	Compound 176	Chlorhexidine	11.43		non-CNS	505.456	3.025	-4.084	-0.091867	10	10	396.42	0.67976	0.67279	34	500 <= x < 525	
fhiaa@IJtDDPHHrJIKJJQPjcK^`@jVjRar`@	Compound 177	Chlormezanone			CNS	273.739	1.1128	-2.05	1.1128	4	0	184.09	0.35178	0.78235	17	250 <= x < 275	
fhipS@IZCpSo@bBAA`cHhheHeTiFJlFBAXjVD@@	Compound 178	Chlorothiazide			non-CNS	295.727	-0.049	-2.768	-0.05752	7	2	177.08	0.29883	0.81578	17	275 <= x < 300	
fmwAb@L}FBHRYfUf]U_WYNBUMZPh@@@HJj@@@	Compound 179	Chlorotrianisene			non-CNS	380.870	4.484	-4.16	4.484	3	0	297.9	0.45219	0.75474	27	375 <= x < 400	
dk^HPNHHbXaIf^UvGS``B@@@@	Compound 180	Chloroxine		6.95	non-CNS	214.051	2.8419	-3.498	2.2631	2	1	143.81	0	0.74499	13	200 <= x < 225	
flePB@E^ADILklrj}Qc`p@UAAEACa@@	Compound 181	Chlorpheniramine	9.47		CNS	274.794	3.3537	-2.626	1.2753	2	0	222.04	0.47412	0.73028	19	250 <= x < 275	
fj}PA@FIADJBDfUnV]WzgEZ}F@HjBBJb@@@	Compound 182	Chlorpromazine	9.2		CNS	318.871	4.6069	-4.801	2.803	2	0	238.83	0.39128	0.83928	21	300 <= x < 325	
fhqQa@EVEHpHc`QdTRVTaTrUFP@RtuP@@	Compound 183	Chlorpropamide		3.33	non-CNS	276.743	2.0374	-2.936	-1.0338	5	2	197.71	0.59756	0.63962	17	275 <= x < 300	
dmND`FePbDfUmZxY`BJR@@	Compound 184	Chlorzoxazone			CNS	169.567	1.7076	-3.252	1.7032	3	1	114.39	0	0.72824	11	150 <= x < 175	
fcoA@@@YEDeLlhheHmXleJL}DNZjefjjjjjj`HXr`	Compound 185	Cholecalciferol			non-CNS	384.645	7.6762	-5.995	7.6762	1	1	324.83	0.40346	0.8153	28	375 <= x < 400	
fde`b@GB|BHrJIKJISIPtXkS`p@UPADQCa@@	Compound 186	Cicletanine		8.56	non-CNS	261.707	2.3289	-3.138	2.3002	3	1	188.57	0.31273	0.83644	18	250 <= x < 275	
foA``BD@HbR\dsOOZlyYtDAUUD@@	Compound 187	Ciclopirox		4.59	non-CNS	207.272	2.7236	-5.569	1.1281	3	1	161.72	0.31595	0.69969	15	200 <= x < 225	
fdipr@ENcAFJRlCprRRiQKQQ[^BuUUTruAb@@	Compound 188	Cidofovir		1.35	non-CNS	279.188	-5.6138	-0.535	-10.863	9	4	192.64	0.62754	0.66888	18	275 <= x < 300	
facQR@JVEHLT`BLdRTVbJTRbebaZuUSTuLuU@aj@	Compound 189	Cilastatin	9.14	2.53	non-CNS	358.457	-0.8388	-2.668	-5.7068	7	4	270.62	0.66345	0.63126	24	350 <= x < 375	
eg`\J@@DBF@O@lblbbbbbbVTt\VRTrPefcausUUUUMSUP@T@@@	Compound 190	Cilazapril		3.71	non-CNS	417.504	-1.4041	-2.452	-5.3942	8	2	321.52	0.53317	0.84594	30	400 <= x < 425	
fmoh`@DQSdhMYEDeLedddheCDeQdeYKM[U@AUTuUUPp@@	Compound 191	Cilostazol			non-CNS	369.467	3.3233	-3.701	3.3233	7	1	294.57	0.48009	0.77436	27	350 <= x < 375	
fkQb@LAsMX@aJYuYg^~vfWEEV}FfVjBBIjijhABd@	Compound 192	Cinalukast		4.36	non-CNS	412.552	5.2326	-5.267	2.1956	5	2	324.02	0.57079	0.74577	29	400 <= x < 425	
fkHPBHLmTBMFaJNR[f]V][WVUEHm]gZB@ijjjjjRh]h@@	Compound 193	Cinitapride	9.74		non-CNS	402.493	0.8854	-4.06	-1.4613	8	2	315.56	0.47618	0.82043	29	400 <= x < 425	
fcP@@@FrRJIJJKIIKXiQI\LyH\kwUU@D@PS@A@@`V@	Compound 194	Cinnarizine	8.1		CNS	368.522	5.256	-3.799	4.2159	2	0	307.68	0.40629	0.63962	28	350 <= x < 375	
fi{pa@AJFDhHbLadTRTtRTTRbRIuNZ]el@PuAU@qYDMT@@	Compound 195	Cinolazepam			CNS	357.771	2.8412	-5.518	2.841	5	1	260.39	0.3143	0.89586	25	350 <= x < 375	
fluQP@BBAIWhyEEEDhdbddpQgQRtpSAEUD@@	Compound 196	Cinoxacin		4.93	non-CNS	262.220	0.9582	-2.661	-1.5127	7	1	181.16	0.23837	0.88286	19	250 <= x < 275	
fa{qb@BVByoPRFQQQJIIIQZXqQdcA}DmXHJJijjfI`@@	Compound 197	Ciprofloxacin	8.68	5.56	non-CNS	331.346	-1.5264	-3.32	-3.1806	6	2	232.79	0.30649	0.90425	24	325 <= x < 350	
fakQB@L}DBPRYWZV]WVZLtXJX@JjBBJkHap`@	Compound 198	Citalopram	9.78		CNS	324.398	2.7864	-3.975	0.39964	3	0	257.85	0.44051	0.88047	24	300 <= x < 325	
ebvxK@@HpDIMDbfk`RVU[\bbTTTtbRfababRTbfbbbjvT\qfrKtKokUUUUUUUUUTuUUUUUUP@@	Compound 199	Clarithromycin	8.38		non-CNS	747.960	2.0998	-3.773	1.0757	14	4	559.61	0.55882	0.99118	52	725 <= x < 750	
fakaB@LbADILkmKZkwMFASWl@EUAAEUAHxhh@	Compound 200	Clemastine	9.55		CNS	343.896	4.5988	-4.181	2.4445	2	0	271.47	0.51603	0.77309	24	325 <= x < 350	
fhqQA@BFTBHyDYEEEhcLeHpTDDUUTPdP@	Compound 201	Clenbuterol	9.63		non-CNS	277.194	2.0569	-3.391	-0.17411	3	3	203.88	0.50012	0.69203	17	275 <= x < 300	
fg`q@OQRVhu`bBQFQQQSZZJJJIReYSI`k^``bfZffjfhh\h@@	Compound 202	Clevidipine			non-CNS	456.321	4.5801	-5.516	4.5801	7	1	333.97	0.43643	0.87866	30	450 <= x < 475	
fdyQR@JFHsSh`dDfYnvW\gK^jjjfZf`@@	Compound 203	Clevudine			non-CNS	260.220	-1.4019	-1.297	-1.404	7	3	173.54	0.42162	0.82714	18	250 <= x < 275	
fmgQQ@BNyHr^`b@aFQQSJJISQSJIJeVcfmUUMUUUUUT@@	Compound 204	Clindamycin	7.55		non-CNS	424.988	0.9128	-2.284	0.52925	7	4	304.55	0.57752	0.88137	27	400 <= x < 425	
dmTFHJ[aePbDbL|B|Dfnfjiih@@	Compound 205	Clodronate		0.62	non-CNS	244.891	-5.7501	0.251	-12.531	6	4	127.69	0.79827	0.6089	11	225 <= x < 250	
fbmia@DXXJQdyAD^dLbbRbrabTVUNRTxL@QUUUTL@@	Compound 206	Clofarabine			non-CNS	303.680	-0.1904	-3.412	-0.1904	8	3	196.59	0.34623	0.87835	20	300 <= x < 325	
ehZR@D@NGBf`H`FHrJIKJJJJIKIYYQPiZa`qpKIJi{z@BjPZARj`@b`@`rP	Compound 207	Clofazimine	6.63		non-CNS	473.406	6.2781	-8.192	4.3836	4	1	350.76	0.23389	0.94705	33	450 <= x < 475	
fkaB@AuADILsJsNkjrr\GJRtaP@@@AUUP@HH`	Compound 208	Clomifene	9.31		non-CNS	405.967	5.1364	-4.147	3.2243	2	0	330.98	0.53217	0.73864	29	400 <= x < 425	
edZTAH@NoiCGDjighPHcHhheEIhl\hmEMEBYdpHiYEdLm@QESTuUTuSTT`@@	Compound 209	Clomocycline	6.8	7.42	non-CNS	492.911	-0.3755	-2.872	-3.3848	10	6	325.19	0.34252	1.0752	34	475 <= x < 500	
fj}`a@AFlBHrDYEEDeCEDlhTsghyK@PUSUMITJD@@	Compound 210	Clopidogrel			non-CNS	321.827	2.7073	-3.222	2.7049	3	0	234.97	0.36965	0.82973	21	300 <= x < 325	
ffcQb@AJSdhHaIe[eYUVZ\tzMX@ajB`VBHZh@@	Compound 211	Clorazepate		3.32	CNS	314.727	1.6747	-4.549	-2.405	5	2	223.72	0.30875	0.85009	22	300 <= x < 325	
fnkpA@ARJBHTDILk\kJjotyitRyk@DMUQPQA@@@	Compound 212	Clothiapine	7.23		CNS	343.881	3.9489	-3.482	3.7239	3	0	249.8	0.24412	0.84556	23	325 <= x < 350	
fj}QA@N^bBH\DYEEDhlieDlbrUoNCA@qMTmQP@@	Compound 213	Clotiazepam			CNS	318.827	3.8003	-5.335	3.8003	3	0	233.94	0.32108	0.88922	21	300 <= x < 325	
figPB@AQADYEEDeHXhhddd\sdTezt\AAUP@h@A@@@	Compound 214	Clotrimazole	6.26		non-CNS	344.844	5.3668	-7.716	5.2996	2	0	266.33	0.42017	0.83928	25	325 <= x < 350	
efu~JD@JIBkjVWVAIbPp@aLHrQQ[JYQIQIJKKQSQIIZHqQYJKKZXTYM@xvaqitsSUTDEELEAPuUUSMUAP@@	Compound 215	Cobicistat	6.69		non-CNS	776.037	4.7812	-5.495	4.7034	12	3	608.57	0.54171	0.83059	54	775 <= x < 800	
ffka`@B`xXhaHRDaDaHQDRDGBTeztPirV`jBjbjjF`@@	Compound 216	Codeine	9.19		CNS	299.369	1.5324	-2.861	-0.26733	4	1	208.62	0.21797	1.0156	22	275 <= x < 300	
fk`p@C@Hfh}yEEDdhUEDeDieFlJWhefuKUUATCTULPTP@	Compound 217	Colchicine			non-CNS	399.442	1.863	-3.046	1.863	7	1	308.67	0.23848	0.96072	29	375 <= x < 400	
dkN`@@imMJUUUZjjj`@	Compound 218	Colestipol	9.81		non-CNS	189.306	-3.3719	0.523	-5.788	5	5	175	0.74166	0.1831	13	175 <= x < 200	
ef]RD@@DDbj`IlbbbbbRTRVVRJTLTRbrqdU`WfQSWrIMKU@DDDQSSA@@@I@@@@	Compound 219	Conivaptan	6.23		non-CNS	498.584	6.1984	-7.296	6.1702	6	2	384.17	0.43805	0.93131	38	475 <= x < 500	
fa{AR@HHpSh@cIIChdididiheIUgQRUju@AUUUTeP@@	Compound 220	Conjugated estrogens		-1.75	non-CNS	350.434	2.4043	-3.395	-6.7437	5	1	238.17	0.34404	0.86592	24	350 <= x < 375	
eghZHL@O@fnke@H`bPdbLbbbfRatTRvbVTRS@dRSWQutDDUPDEKUUATGA@@	Compound 221	Crizotinib	10.12		non-CNS	450.344	3.5382	-5.264	0.81502	6	2	325.47	0.34366	0.86954	30	450 <= x < 475	
do~H@DCHhheDeD[]jdJH@Hj@	Compound 222	Crotamiton			non-CNS	203.284	3.0195	-2.89	3.0195	2	0	178.35	0.53613	0.64751	15	200 <= x < 225	
fnspR@FJchuo@BLdTbbJTRltfRpsdjmjjjfYjjj`@@	Compound 223	Cyclacillin	8.45	3.3	non-CNS	341.431	-1.5083	-1.854	-5.6041	7	3	232.01	0.36658	0.89531	23	325 <= x < 350	
fbuA`@@Hhdrs\jmJ[slmUTEAUD@@@	Compound 224	Cyclandelate			non-CNS	276.375	2.9264	-3.245	2.9264	3	1	219.83	0.42024	0.63466	20	275 <= x < 300	
fbmP@@@FRieYgUWxYrPyjj`B@HH@@@	Compound 225	Cyclizine	8.2		CNS	266.387	3.0767	-1.959	1.9341	2	0	219.92	0.37569	0.58251	20	250 <= x < 275	
fj}`@@@YIDThhhheEcXOliKUSPAA@B@@@	Compound 226	Cyclobenzaprine	9.76		CNS	275.394	4.3534	-4.172	1.9908	1	0	233.07	0.30192	0.80899	21	275 <= x < 300	
dg]DpLEnBHKpNHRUfgUvzjZjj`j@@	Compound 227	Cyclophosphamide			non-CNS	261.088	0.727	-1.895	0.727	4	1	182.69	0.69284	0.66755	14	250 <= x < 275	
fa{pS@IZCpSo@bBAA`cHhheHeTiEXhdqU`uZwlDBqTmUTeP@@	Compound 228	Cyclothiazide			non-CNS	389.883	0.9443	-3.565	0.93493	7	3	240.8	0.25024	0.89932	24	375 <= x < 400	
ffs`@@@YIDmeEEEDhlZL]DI\ujjZ@HH@d@@@	Compound 229	Cyproheptadine	8.05		CNS	287.405	4.5999	-4.412	3.8627	1	0	233.04	0.11531	0.84746	22	275 <= x < 300	
ekhPBH@CFim`HcHhhdiDheh]EhUEFAIKKO@dljjVjjZjjjfZj`@@	Compound 230	Cyproterone			non-CNS	416.943	3.7275	-5.101	3.7275	4	0	285.66	0.30639	0.98466	29	400 <= x < 425	
gChHL@aIZ`@	Compound 231	Cysteamine	9.74		non-CNS	77.1506	-0.4145	-1.21	-3.4135	1	1	65.4	0.63538	0	4	75 <= x < 100	
fbei`@LTDjpDIRYUyWYVtYjj@BjjHAH@@	Compound 232	Cadralazine	3.37	12.88	non-CNS	283.331	1.4372	-2.494	1.4372	8	3	228.66	0.61276	0.6593	20	275 <= x < 300	
ehRVFD@LAJfemmGO@lk`@bpHrQQJIIIJZJqQJIQILcbaa[[xFjjjZYjf`jPISBBDRI@@	Compound 233	Cefamandole nafate		3.1	non-CNS	490.520	-0.0988	-2.998	-4.1993	12	2	337.58	0.43796	0.93319	33	475 <= x < 500	
edRZND@LADfgmKGOBjc`@cXHrQQJIIKSSZIJIIJXrD\TLK[UUUSLtuSSMUSHPPbPQH	Compound 234	Cefetamet pivoxil	3.28	10.94	non-CNS	511.579	1.7551	-4.015	1.7549	12	2	359.85	0.46873	0.93628	34	500 <= x < 525	
fegp``LJuA@@cL`VPkHYIIXdlheDiiDkaRm{huh@JfXJ`H`@@	Compound 235	Celecoxib			CNS	381.377	2.5888	-4.174	2.5886	5	1	259.56	0.47384	0.82757	26	375 <= x < 400	
fhaA@@@IJjjjjuUUUUP@@	Compound 236	Cetyl alcohol			non-CNS	242.445	6.4121	-4.257	6.4121	1	1	238.51	0.60796	0.32894	17	225 <= x < 250	
fhipS@IZCpSo@bBAA`cHhheHeTiFJlFBAXiVH@@	Compound 237	Chlorothiazide sodium		6.49	non-CNS	295.727	-0.4496	-2.387	-1.4124	7	2	177.08	0.28349	0.81578	17	275 <= x < 300	
dklL`NTpbDfUu[ih@JjbIH@	Compound 238	Chlorphenesin			CNS	202.636	1.1078	-2.034	1.1078	3	2	151.4	0.56914	0.56687	13	200 <= x < 225	
