Structure [idcode]	pKa	temp	method	type	group	basicOrAcidic	Row-ID	Neighbor Similarity OrgFunctions 96%	Neighbor Count	Neighbor	Neighbor Analysis X	Neighbor Analysis Y	
deu@@@iJYYrhYdH``@@	5.67	25	potentiometric	a/apparent		basic	1997	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	31	7160; 3833; 3830; 3827; 3826; 3824; 3825; 3822; 3821; 3820; 3814; 3731; 3732; 3305; 3304; 2726; 2725; 2724; 2723; 2721; 2720; 1040; 1041; 1042; 1043; 1050; 1999; 1989; 1993; 1995; 1996	-0.28363386	0.5019756	
deu@@@kIEDhcSCH@@@@@	3.51	20	potentiometric	a2/apparent		basic	1998	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	17	6006; 3834; 3823; 3313; 2381; 1034; 1038; 1039; 1044; 1045; 1047; 1061; 1062; 1063; 1065; 1066; 1984	-0.44743457	-0.3688105	
deu@@@kIEEDceCLaPD@@	6.3	25	mean from 3	a1/apparent		basic	1999	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	31	7160; 3833; 3830; 3827; 3826; 3824; 3825; 3822; 3821; 3820; 3814; 3731; 3732; 3305; 3304; 2726; 2725; 2724; 2723; 2721; 2720; 1040; 1041; 1042; 1043; 1050; 1989; 1993; 1995; 1996; 1997	-0.31232312	0.47543213	
deu@@@qIYe^Gizjjh@@	5.85	25		a1/apparent		basic	2000		0		0.17363581	-0.93480974	
deu@@@qJYYrhYZjjh@@	11.5			b/apparent		basic	2001		0		-0.7184583	0.48403674	
deu@@@yIYe^Gizjjh@@	7.85	25	mean from 2	a1/apparent		basic	2002	0.95174; 0.95174; 0.95174; 0.95174	4	7639; 4073; 2602; 1855	0.34241888	-0.026827868	
deu@B@XIrQQJHtpsPTA@@@	2.11	25	potentiometric	a1/thermodynamic		basic	2003	0.96832; 1; 0.96832	3	5699; 3837; 1110	-0.06117305	-0.8799326	
deu@PLx@a`aJY{\hYifZd@@	2.76			a/apparent		basic	2004		0		-0.8885301	-0.15507728	
deu@`BDIAIfUfga``XH@@	4.4		potentiometric	a/apparent		basic	2005	1	1	2008	0.18102732	-0.9036892	
deu@`Dp@aIeURhYZh@@@@	10.24	20	spectrophotometric	a/apparent		acidic	2006	1	1	6011	-0.8989324	0.08719854	
deu@`FdHaIe[ZxY`BFH@@	4.86	25	potentiometric	a1/apparent	N(+)-H	basic	2007	1; 1; 1; 1; 1	5	7818; 7817; 7302; 2917; 134	0.52157134	-0.6822175	
deu@`FdIAIe[ZxY`BFH@@	5.11		potentiometric	a/apparent		basic	2008	1	1	2005	0.19704016	-0.87801975	
deu@`HX@aJVU|HYiB@`@@	2.45	25	potentiometric	a1/apparent		basic	2009	1; 1	2	1072; 2011	0.3246929	0.1844684	
deu@`LH@aJYURkiifjh@@	10.31	25	potentiometric	a1/apparent		basic	2010	1; 1; 0.94515	3	2920; 2729; 1073	-0.5829474	0.4083428	
deu@`LH@cIEEBeeCML@D@@	4.51	20	potentiometric	a/apparent		basic	2011	1; 1	2	1072; 2009	0.34533936	0.17767519	
deuH@AdDfUmiaf@Bd`@	10.05	25	potentiometric	a/apparent		acidic	2012	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	13	7833; 4369; 3863; 3862; 2019; 2016; 2015; 2014; 1571; 1573; 1574; 1575; 2013	0.16037945	0.49603066	
deuH@BxDfYVX^fBBHP@	8.6		potentiometric	a/apparent		acidic	2013	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	13	7833; 4369; 3863; 3862; 2019; 2016; 2015; 2014; 1571; 1573; 1574; 1575; 2012	0.103247985	0.47149858	
deuH@FDDfUmkaf@HhP@	9.35	25	potentiometric	a/apparent		acidic	2014	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	13	7833; 4369; 3863; 3862; 2019; 2016; 1571; 1573; 1574; 1575; 2015; 2012; 2013	0.12248764	0.5028391	
deuH@FdDfUmkaf@HX`@	10.01		mean from 2	a1/apparent		acidic	2015	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	13	7833; 4369; 3863; 3862; 2019; 2016; 1571; 1573; 1574; 1575; 2012; 2013; 2014	0.12654948	0.5234034	
deuH@FdDfUmkaf@HX`@	5.69		mean from 2	a1/apparent		basic	2016	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	13	7833; 4369; 3863; 3862; 2019; 1571; 1573; 1574; 1575; 2012; 2013; 2014; 2015	0.10214671	0.49308836	
deuH@LHLdTTJVTLtp@P@@	3.73	20	potentiometric	a/apparent		basic	2017	0.95174	1	2018	-0.05293427	-0.9681734	
deuH@LHLdTTJVTLtsUT@@	5.75	21		a1/apparent	NH(+)	basic	2018	0.95174	1	2017	-0.06692743	-0.96252644	
deuH@NdDfYYX^f@bD`@	8.65	25	potentiometric	a/apparent		basic	2019	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	13	7833; 4369; 3863; 3862; 1571; 1573; 1574; 1575; 2012; 2013; 2014; 2015; 2016	0.12110394	0.4817465	
deuHBDp@yIeURhYfh@@@@	11.95	20	spectrophotometric	a2/apparent		basic	2020	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	28	7026; 7024; 7025; 7023; 6714; 6598; 6472; 6114; 6115; 6015; 5957; 5716; 5411; 5095; 5094; 5093; 4982; 3341; 3342; 3340; 3339; 3337; 3338; 2447; 2446; 2443; 1088; 2021	-0.5181068	-0.18620989	
deuHBDpDeIeURhYfh@@@@	-1.7	20	spectrophotometric	a1/apparent		acidic	2021	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	28	7026; 7024; 7025; 7023; 6714; 6598; 6472; 6114; 6115; 6015; 5957; 5716; 5411; 5095; 5094; 5093; 4982; 3341; 3342; 3340; 3339; 3337; 3338; 2447; 2446; 2443; 1088; 2020	-0.43759498	-0.12015654	
dev@@@RYUTjFZj@@@@	9.55	21	mean from 2	a/apparent		basic	2022		0		-0.5268198	-0.84187245	
dev@@@RYVvfFX@Jb@@	5.35	16	potentiometric	a/apparent		basic	2023	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	23	7846; 4662; 4406; 4391; 4388; 4387; 3900; 3891; 3020; 3000; 2999; 2998; 2997; 2995; 2996; 2994; 185; 186; 188; 1614; 1615; 1633; 1634	-0.23581044	-0.29710367	
dev@@@RYe\fFZ``HbJ@@	9.21	22	mean from 2	a/thermodynamic		basic	2024	0.95174; 1; 1	3	4298; 3893; 3001	-0.28053427	0.6974119	
dev@@@Re[TjFP@@@@@	5.36	22	mean from 8	a1/apparent		basic	2025	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	16	3906; 3907; 3905; 3897; 3896; 3895; 3894; 3370; 3369; 2037; 1120; 1126; 1127; 1128; 1129; 1130	-0.23607434	0.16881171	
dev@@@Re[TjFP@jb@@	6.65	20	potentiometric	a1/apparent		basic	2026	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	25	7853; 7851; 7849; 7309; 3023; 3022; 3021; 3004; 3003; 3002; 2167; 2165; 2038; 192; 193; 195; 197; 198; 199; 201; 214; 215; 1619; 1623; 1636	0.23971333	0.39068508	
dev@@@Re[TjFZh@H@@	9.48	20	mean from 2	a1/apparent		basic	2027	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	15	6778; 6252; 5615; 5280; 4892; 4663; 4394; 4393; 3604; 3014; 2163; 745; 746; 1618; 1629	-0.1367992	-0.44563058	
dev@@@Re[TjFZjjj@@	10.95	20	potentiometric	a1/apparent		basic	2028		0		0.6567058	0.6304261	
dev@@@RfUJxZB@h@@	5.0	20	spectrophotometric	a1/apparent	N-H	basic	2029	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	19	6779; 6253; 4396; 4395; 3601; 3013; 3011; 3010; 3005; 2730; 2164; 204; 747; 748; 1621; 1624; 1625; 1627; 2030	-0.29637358	-0.25915402	
dev@@@RfV^nFZBHH@@	4.96	20	mean from 2	a1/apparent		basic	2030	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	19	6779; 6253; 4396; 4395; 3601; 3013; 3011; 3010; 3005; 2730; 2164; 204; 747; 748; 1621; 1624; 1625; 1627; 2029	-0.32903638	-0.2016611	
dev@@@Rge^DxZ`@h@@	6.76	25	potentiometric	a1/apparent		basic	2031	1	1	2731	-0.6538565	-0.6600541	
dev@@@RifXfhZjjjQJLh@	11.74	25	potentiometric	a1/apparent	NH(1+)	basic	2032	0.9615; 0.9615	2	2034; 2033	-0.81486285	-0.12830067	
dev@@@RifXfhZjjjrDbr@@	11.48	25	potentiometric	a1/apparent	NH(1+)	basic	2033	1; 0.9615	2	2034; 2032	-0.823621	-0.10765289	
dev@@@RifXfhZjjjrDdq@@	10.23	25	potentiometric	a1/apparent	NH(1+)	basic	2034	0.9615; 1	2	2032; 2033	-0.8042346	-0.11038804	
dev@@@RiftfFZjjjrJDhJ`@	10.1			a/apparent	NH%+&	basic	2035	0.9615; 0.9615; 0.9615; 0.96832; 0.96832	5	3019; 2738; 2737; 2052; 2051	0.009764916	0.18082805	
dev@@@RifuazZfjj@@	8.8	25	spectrophotometric	a1/thermodynamic		basic	2036		0		0.7418419	0.6671266	
dev@@@rQQJHtpr@@@@@@	4.89	23	mean from 14	a1/apparent	NH(1+)	basic	2037	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	16	3906; 3907; 3905; 3897; 3896; 3895; 3894; 3370; 3369; 1120; 1126; 1127; 1128; 1129; 1130; 2025	-0.25473642	0.18404046	
dev@@@rQQJHtprAATP@@	6.6	20	potentiometric	a1/apparent		basic	2038	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	25	7853; 7851; 7849; 7309; 3023; 3022; 3021; 3004; 3003; 3002; 2167; 2165; 192; 193; 195; 197; 198; 199; 201; 214; 215; 1619; 1623; 1636; 2026	0.27324212	0.41726083	
dev@@@rQQJHtpsUUUP@@	10.9	20	potentiometric	a1/apparent		basic	2039	0.95174	1	3110	-0.8291232	-0.42208484	
dev@@@rRJQJi`sUUUP@@	9.22	25	mean from 2	a1/apparent	NH	basic	2040	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	11	7863; 7859; 7858; 7595; 7593; 7592; 7587; 7586; 7226; 4749; 2733	0.448159	0.45983663	
dev@`ABHRYWZfFX@Jb@@	6.18	25	potentiometric	a1/apparent		basic	2041		0		0.71715647	-0.6944143	
dev@`ACDRYVvfFX@Jb@@	3.7	20	spectrophotometric	a1/apparent	N-H	basic	2042		0		-0.5953649	-0.78680694	
dev@`F@HRf^wJFZYjj@@	9.35		potentiometric	b/apparent		basic	2043	0.9615; 0.9615	2	3903; 1125	-0.09887824	0.32700118	
dev@`LBHRVYWazZjjj@@	9.68	25		a1/apparent		basic	2044		0		0.010348719	0.9605285	
dev@`NBHRVYWazZjjj@@	10.15	25		a1/apparent		basic	2045	0.95174; 0.9615	2	2732; 430	0.08299179	0.15040202	
devD@B@Tiv^aAfjjj`@	6.45	20	potentiometric	b1/apparent	NH%+&	basic	2046	1; 0.9615; 1; 0.95174	4	3931; 3739; 3378; 3114	-0.14722665	-0.055049937	
devD@DCdfVUJaejijdqT`@	9.53	20	potentiometric	a/apparent		acidic	2047	1; 1	2	3934; 2742	0.34020978	0.10094208	
devD@J@TiWVJafjjj`@	5.88	20	spectrophotometric	b1/apparent	NH%+&	basic	2048	0.95174; 0.95174; 0.95174; 0.95174	4	7886; 3114; 2308; 281	-0.11173881	-0.10939776	
devH@BAIfUb[ajjfiHHR`@	9.6	25	potentiometric	a/apparent	NH%+&	basic	2049	0.98006	1	3929	0.18395236	0.9271272	
devH@BAIfUb[ajjjkHhPbb@@	10.92	24.5	potentiometric	a/apparent	NH+	basic	2050	0.97331; 0.96832	2	3930; 1744	-0.11261734	0.15419574	
devH@FAIeYZ[ajjjkHQJh@	10.33	25		b/apparent		basic	2051	1; 0.96832	2	2052; 2035	-0.007506396	0.19472836	
devH@FAIeYZ[ajjjkHQRd@	9.86	25		b/apparent		basic	2052	0.96832; 1	2	2035; 2051	-0.010316986	0.17403041	
devH@JAIYeZxYjjjiDhp`@	10.87	25.5	potentiometric	a/apparent	NH+	basic	2053	0.9615; 0.9615; 1; 0.9615; 0.9615	5	2734; 335; 1198; 1640; 2054	-0.08482633	0.17971218	
devH@LAIYe^Gijjjh@@	10.85	25		a1/apparent		basic	2054	0.9615; 0.9615	2	1198; 2053	-0.0648392	0.189525	
devH@LAJ[e^Gijjjh@@	8.87	25		a1/apparent		basic	2055		0		-0.7708883	-0.61696506	
devH@NAIYe^Gijjjh@@	10.56	25		a1/apparent		basic	2056	1	1	483	-0.62446165	0.48649225	
devH`HX@aJVU|HYiB@`@@	7.01	25	potentiometric	a2/apparent	OH	acidic	2057	1; 1; 1	3	2060; 2059; 2058	0.5781921	0.2406171	
devH`JD@aJYWlkihDH`@@	1.25	27	mean from 2	a1/apparent		basic	2058	1; 1; 1	3	2060; 2059; 2057	0.5572144	0.24567778	
devH`JD@aJYWlkihDH`@@	8.77	27	mean from 2	a1/apparent		acidic	2059	1; 1; 1	3	2060; 2057; 2058	0.56522125	0.22440897	
devH`Jd@aJYW\kahDB`@@	9.21	20	potentiometric	a1/thermodynamic	OH	acidic	2060	1; 1; 1	3	2057; 2058; 2059	0.57244176	0.20436679	
devH`LP@aIeURhYZh@@@@	6.33	25	conductometric	a/apparent		acidic	2061		0		0.7973162	0.5742156	
devLBAABFTfzuJaejjjdpbj@@	2.63	24		a1/apparent	COOH	acidic	2062		0		0.21682183	-0.8652039	
devLBAABSdfzuJaejjjdpbj@@	9.14	24		a2/apparent	NH(1+)	basic	2063		0		-0.24853039	-0.8312529	
dev`@@pjeJYgVxY@hFH@@	3.8	20	potentiometric	a2/apparent		basic	2064	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	17	5017; 3986; 3985; 3982; 3981; 3980; 3979; 2072; 2071; 2068; 2070; 2073; 2069; 1243; 2067; 2066; 2065	-0.21897666	0.355681	
dev`@@pjeJYgVxY@hFH@@	9.93	20	potentiometric	a3/apparent		acidic	2065	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	17	5017; 3986; 3985; 3982; 3981; 3980; 3979; 2072; 2071; 2068; 2070; 2073; 1243; 2069; 2067; 2066; 2064	-0.26145348	0.40867376	
dev`@@raeJY{ZXYB@iH@@	4.59	20	spectrophotometric	a1/apparent		basic	2066	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	17	5017; 3986; 3985; 3982; 3981; 3980; 3979; 2072; 2071; 2068; 2070; 2073; 1243; 2069; 2067; 2064; 2065	-0.22975245	0.36991686	
dev`@@raeJY{ZXYB@iH@@	10.84	20	spectrophotometric	a2/apparent		acidic	2067	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	17	5017; 3986; 3985; 3982; 3981; 3980; 3979; 2072; 2071; 2068; 2070; 2073; 1243; 2069; 2064; 2065; 2066	-0.21077305	0.37888852	
dev`@@rfEJY{ZxYBBJD@@	5.0	20	spectrophotometric	a1/apparent		basic	2068	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	17	5017; 3986; 3985; 3982; 3981; 3980; 3979; 2072; 2071; 1243; 2064; 2065; 2066; 2067; 2070; 2073; 2069	-0.27808785	0.41480944	
dev`@@rfEJY{ZxYBBJD@@	10.15	20	spectrophotometric	a2/apparent		acidic	2069	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	17	5017; 3986; 3985; 3982; 3981; 3980; 3979; 2072; 2071; 1243; 2070; 2073; 2064; 2065; 2066; 2067; 2068	-0.2831306	0.35676396	
dev`@@rfeJY{ZxYBBFH@@	4.26	23	mean from 6	a1/apparent		basic	2070	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	17	5017; 3986; 3985; 3982; 3981; 3980; 3979; 2072; 1243; 2071; 2064; 2065; 2066; 2067; 2068; 2069; 2073	-0.2803701	0.39433622	
dev`@@rfeJY{ZxYBBFH@@	9.86	22	mean from 5	a2/thermodynamic	N-H	acidic	2071	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	17	5017; 3986; 3985; 3982; 3981; 3980; 3979; 1243; 2072; 2064; 2065; 2066; 2067; 2068; 2069; 2070; 2073	-0.26123452	0.389014	
dev`@@rfeJY{ZxYBBJD@@	4.2	24	mean from 5	a1/apparent		basic	2072	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	17	5017; 3986; 3985; 3982; 3981; 3980; 3979; 1243; 2064; 2065; 2066; 2067; 2068; 2069; 2070; 2071; 2073	-0.26181942	0.35833642	
dev`@@rfeJY{ZxYBBJD@@	9.74	25	mean from 4	a2/apparent		acidic	2073	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	17	5017; 3986; 3985; 3982; 3981; 3980; 3979; 1243; 2064; 2065; 2066; 2067; 2068; 2069; 2070; 2071; 2072	-0.27382815	0.3743934	
dev`@@rneJYVzEnBAbH@@	4.68	20	potentiometric	a1/apparent		basic	2074	1; 1	2	2075; 2076	-0.3930192	0.7181658	
dev`@@rneJYVzEnBAbH@@	9.36	20	potentiometric	a2/apparent		acidic	2075	1; 1	2	2074; 2076	-0.40024891	0.6980542	
dev`B@radIRfUxjxYB@h@@	-0.28	20	spectrophotometric	a1/apparent		basic	2076	1; 1	2	2074; 2075	-0.37813872	0.704558	
dev``Dkad@aIeeVxYZiZd@@	4.6			a/apparent		acidic	2077		0		-0.68779624	-0.6252155	
devh@DpnDDfYVZ^EjiY`@	6.95		spectrophotometric	a/apparent		acidic	2078		0		-0.68843234	0.18784629	
dew@@@X\dTRbMLL`@@@@@	2.5		potentiometric	a/apparent		basic	2079		0		-0.68337035	0.49821723	
dew@@@`TiUVpnfZ@`@@	3.29		potentiometric	a/apparent		basic	2080	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	22	4042; 4041; 4040; 4034; 4033; 4029; 4027; 4024; 4020; 4019; 4014; 2091; 2088; 2087; 2085; 2084; 2083; 2086; 1263; 1264; 1268; 1269	0.18111037	-0.37011206	
dew@@@`diYurafZ`@@@	3.15	20	potentiometric	a/apparent		basic	2081	1; 0.9615; 0.9615; 1	4	6028; 6027; 6026; 2089	-0.22533031	-0.17112683	
dew@@@aDiUUpnEj@H@@	8.9		potentiometric	a/apparent		acidic	2082	1; 1	2	2747; 2746	-0.6774088	-0.41264012	
dew@@@bTiUUpnFZ@H@@	4.8	24.9	spectrophotometric	a1/apparent	-NH3(+)	basic	2083	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	22	4042; 4041; 4040; 4034; 4033; 4029; 4027; 4024; 4020; 4019; 4014; 2091; 2088; 2087; 1263; 1264; 1268; 1269; 2085; 2084; 2080; 2086	0.20803714	-0.38958865	
dew@@@bTiUUpnFZ@H@@	14.3	24.9	spectrophotometric	a1/apparent	-NH-	acidic	2084	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	22	4042; 4041; 4040; 4034; 4033; 4029; 4027; 4024; 4020; 4019; 4014; 2091; 2088; 2087; 1263; 1264; 1268; 1269; 2085; 2080; 2083; 2086	0.15680297	-0.40531376	
dew@@@bTiUUpnFZ@H@@	3.91	22	mean from 2	a1/apparent	-NH3(+)	basic	2085	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	22	4042; 4041; 4040; 4034; 4033; 4029; 4027; 4024; 4020; 4019; 4014; 2091; 2088; 2087; 1263; 1264; 1268; 1269; 2080; 2083; 2084; 2086	0.16367927	-0.42592347	
dew@@@bTiUWpnFZ@H@@	5.15		potentiometric	a/apparent		basic	2086	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	22	4042; 4041; 4040; 4034; 4033; 4029; 4027; 4024; 4020; 4019; 4014; 2091; 2088; 2087; 1263; 1264; 1268; 1269; 2080; 2083; 2084; 2085	0.14388347	-0.4208759	
dew@@@cdiUYpafZB@@@	3.05		potentiometric	a/apparent		basic	2087	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	22	4042; 4041; 4040; 4034; 4033; 4029; 4027; 4024; 4020; 4019; 4014; 1263; 1264; 1268; 1269; 2091; 2088; 2080; 2083; 2084; 2085; 2086	0.1937451	-0.40927395	
dew@@@jTie]rnFP`J@@	6.11	25	potentiometric	a2/apparent		basic	2088	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	22	4042; 4041; 4040; 4034; 4033; 4029; 4027; 4024; 4020; 4019; 4014; 1263; 1264; 1268; 1269; 2091; 2080; 2083; 2084; 2085; 2086; 2087	0.21371025	-0.3533696	
dew@@@pldTTJVTLmP@P@@	7.49	20	mean from 2	a1/thermodynamic		basic	2089	1; 0.9615; 0.9615; 1	4	6028; 6027; 6026; 2081	-0.20317547	-0.16931602	
dew@@@sdie[hVxHFH`@	4.6	25	potentiometric	b1/apparent		basic	2090	1; 1; 1; 1	4	2751; 2750; 2749; 2748	-0.19653343	0.5665446	
dew@B@jPeJYW\kadHB`@@	3.07	25	potentiometric	a1/apparent		basic	2091	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	22	4042; 4041; 4040; 4034; 4033; 4029; 4027; 4024; 4020; 4019; 4014; 1263; 1264; 1268; 1269; 2080; 2083; 2084; 2085; 2086; 2087; 2088	0.17068072	-0.35173544	
dew@`FFPbDfUmkaf@HX`@	7.7		spectrophotometric	a/apparent		acidic	2092	0.95174; 0.95174; 0.95174; 0.95174; 0.95174; 0.95174; 0.95174	7	4053; 4052; 4051; 995; 1000; 1287; 1288	0.4749228	-0.4804677	
dewH@HP`RY[TjFZd@H@@	4.6	25	potentiometric	a1/apparent	OH	acidic	2093		0		0.35329178	-0.91229427	
dewHBHi`b\dTTRNTLtC@P@@	7.18	23	mean from 2	a1/apparent		acidic	2094		0		0.695181	0.7124333	
dg\D@@[HhihcDd]mTt@@@@	10.49	25	spectrophotometric	a1/thermodynamic		acidic	2095	1	1	3483	0.7607061	-0.13464372	
dg\DHFd@cY@yByCIEDiUMHUUJtuT@@	6.31	20	mean from 3	a1/apparent	C-H	acidic	2096		0		-0.54999083	-0.8028838	
dg\Dh@ShBXCX@xBxAInYf|UZ@bJ`@XkbBRCR@rBr@	4.18	25		a/thermodynamic		acidic	2097	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	19	4617; 4177; 4175; 4174; 4173; 4172; 4171; 4170; 3488; 3487; 3486; 2770; 524; 525; 527; 1378; 1380; 1383; 1398	0.41905805	-0.4875424	
dg\J@@PUMInUeWiZ@Hj`@@	4.2	20	potentiometric	a1/thermodynamic		acidic	2098		0		-0.10650954	0.9648657	
dg\L@@PTfufUuMi``b@cD	4.35	25		apparent		acidic	2099	1; 1; 1	3	6219; 6220; 2100	-0.7413881	0.099328145	
dg\L@@PTfufUuMi``b@cH	4.68	25		apparent		acidic	2100	1; 1; 1	3	6219; 6220; 2099	-0.77504146	0.09218549	
dg\L@@PTfyV}^eh@bj@@	4.25	20	potentiometric	thermodynamic		acidic	2101	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	12	4623; 3527; 3525; 3523; 3522; 3519; 3518; 2107; 585; 605; 608; 2106	0.6677352	0.006437362	
dg\L@@PdfyVySmjj@`@@	3.43	25	potentiometric	a/apparent		acidic	2102	1; 1; 1; 1	4	3511; 3270; 2340; 974	0.30618906	0.58160025	
dg\L@@Pdf{VU}Mif@B@bh	1.96	25	potentiometric	a/apparent		acidic	2103	1	1	3512	0.8492624	0.3558958	
dg\L@@PlbffbbbjftpDQ@@@	1.34	25		apparent		acidic	2104	1; 1; 1; 1	4	4246; 3514; 3513; 592	-0.5468377	0.62553036	
dg\L@@QdfunU}Mif@B@cH	3.44	25	spectrophotometric	a1/apparent	COOH	acidic	2105	1; 1; 1; 1	4	6223; 4842; 4622; 3520	-0.5436892	-0.1213021	
dg\L@@RTfyWU^Eh@Jj@@	4.48	25	spectrophotometric	a1/apparent		acidic	2106	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	12	4623; 3527; 3525; 3523; 3522; 3519; 3518; 585; 605; 608; 2107; 2101	0.69801605	-0.022700164	
dg\L@@RTfyWUnEh@Jj@@	4.48	25	spectrophotometric	a1/apparent		acidic	2107	1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1	12	4623; 3527; 3525; 3523; 3522; 3519; 3518; 585; 605; 608; 2101; 2106	0.65008354	-0.0070912144	
dg\L@@RtfVUWYujBBJ@@	8.34	25		thermodynamic		acidic	2108	0.95174; 1; 1; 1; 0.95174	5	6070; 3515; 593; 614; 1220	0.15928783	-0.2584907	
dg\LHHS@BMdCdKdLddlRTL`rm@AU@@@	-6.93	36	spectrophotometric	a1/apparent	H	acidic	2109		0		0.6119255	0.7674385	
dg\N@@Png[R[efuEVjjjjkBJhZ`REH@	3.55		conductometric	a/apparent		acidic	2110	0.95709	1	5270	0.2959093	-0.8291891	
dg\NA@zUt{BS{IEEEEEBp`TPsP@@	1.8	21	potentiometric	a2/apparent		acidic	2111	1; 1	2	2113; 2112	-0.63822204	0.13598129	
dg\NB@zUt{B\dTTTTTKBAQCM@@@	0.6	21	potentiometric	a1/apparent		acidic	2112	1; 1	2	2113; 2111	-0.6432021	0.15771219	
dg\NC@zUt{BUx~rQQQQQPlHEDLt@@	9.82	21	potentiometric	a3/apparent		acidic	2113	1; 1	2	2111; 2112	-0.6180944	0.13177788	
dg\`@@h[ReUUUNzjjjj@@	11.1	25	mean from 2	b1/apparent	HN	basic	2114		0		0.562604	0.7966386	
dg\`@@rfRVUyWt~Zx@H@@	-0.83	25	spectrophotometric	a1/apparent		basic	2115	1; 1; 1; 1; 1; 1; 1; 1; 1	9	4630; 4629; 4628; 4627; 3535; 3536; 2118; 2117; 2116	0.032347806	0.7778869	
