CAS number	chemical name	name IUPAC	merck index ref	literature ref	patent date	Launched date	FDA approved	code ATC	solubility	Additional info type	Additional info detail	blood brain barrier	administration	absorption tissue	protein binding	metabolism tissue	metabolism metabolite	daily dose	side effect name	target type	target name	therapeutic class name	therapeutic effect name	Structure [idcode]	Synonyms	T max	protein binding rate	bioavailability	half life time	absorption rate	distribution volume	
2919-66-6	Melengestrol acetate	17-hydroxy-6-methyl-16-methylenepregna-4,6-diene-3,20-dione acetate	MI, 14, 5818	J Anim Sci. 1989 Aug 67(8):1895-906	14.12.1971			Not yet attributed		Veterinary use									Carcinogenic, Weight gain			Endocrinology		ek`PB@@@JimdfUnY}[em[jNECO@dbffijjjjifZjXxRbLSdBRT@@								
34552-83-5	Loperamide hydrochloride	4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]- N,N-dimethyl-2,2-diphenylbutanamide	MI, 12, 5601	Cell Mol Life Sci. 2000 Jan 20 57(1):149-57	24.03.1972	1974	Yes	A07DA03	CHCl3	Therapeutic classification (according ATC code)	Antipropulsive		Oral	GI tract		Liver		10	Constipation, Nausea			Gastroenterology	Antidiarrheal	elZTDD@KIaA`HaFHRYWZuuZYfU^\hXLlvAna`@jjjj`A`B`H@@@		2 - 4			10.8	0 - 15		
73573-88-3	Mevastatin	[(1S,7S,8S,8aR)-8-[2-[(2R,4R)-4-hydroxy-6-oxooxan-2-yl]ethyl]-7-methyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl] (2S)-2-methylbutanoate	MI, 14, 6164	Carcinogenesis. 2001 Jul 22(7):1061-7	28.09.1976			Not yet attributed														Cardiovascular	Hypocholesterolemic	fcoAP@@HEgnQQIQ[JJJJJUFZJcOQKUjjjjjfjZj[aIRJVdYN`t@								
59122-46-2	Misoprostol	methyl 7-[(1R,2R,3R)-3-hydroxy-2-[(E)-4-hydroxy-4-methyloct-1-enyl]-5-oxocyclopentyl]heptanoate	MI, 14, 6210	Clin Pharm. 1989 Sep 8(9):627-44	22.06.1976	1985	Yes	A02BB01 		Chemical classification (according ATC code)	Prostaglandin		Oral	GI tract		Liver		0,8	Constipation, Diarrhoea, Dizziness, Dyspepsia, Foetal distress, Menstrual disturbances, Nausea, Rash, Uterine bleeding			Metabolism	Antiulcer	fm{AP@@RCtZSLjkjmOkNQcUUSUUUTuVDPbXhR`		0.5			1.5			
53-19-0	Mitotane	1-chloro-2-[2,2-dichloro-1-(4-chlorophenyl)ethyl]benzene	MI, 14, 6216	Minerva Endocrinol. 2012 Mar 37(1):9-23	27.03.1979	1970	Yes	L01XX23				Yes	Oral	GI tract		Liver			Anorexia, Asthenia, Ataxia, Confusion, Diarrhoea, Epigastric misery, Gynecomastia, Hepatic enzyme levels elevated, Hypercholesterolemia, Leucopenia, Paresthesia, Rash, Somnolence, Vertigo, Vomiting			Endocrinology, Oncology	Antineoplastic	fdy@@`@QAhbtQFHrJJIJFJIGLyxLAAPTAABe@@					432 - 3816	35 - 40		
151096-09-2	Moxifloxacin	7-[(4aS,7aS)-1,2,3,4,4a,5,7,7a-octahydropyrrolo[3,4-b]pyridin-6-yl]-1-cyclopropyl-6-fluoro-8-methoxy-4-oxoquinoline-3-carboxylic acid	MI, 14, 6291	Drugs. 2004 64(20):2347-77	17.01.1990	1999	Yes	J01MA14 		Chemical classification (according ATC code)	Fluoroquinolone		Oral		Plasmatic proteins	Liver		400	Anxiety, Diarrhoea, Dizziness, Epigastric misery, Excitation, Headache, Hepatic enzyme levels elevated, Hypersensitivity reactions, Nausea, Tendinitis			Infectiology, Metabolism	Antibacterial	ekh\BH@BODi@mc`IAIfVYUVWm^YaPrrHkhZYZBBhjijjjfIi@qVP@		0.5 - 4	40 - 42	91	12		2	
08.05.3374	Nalidixic acid sodium salt	1-ethyl-7-methyl-4-oxo-1,8-naphthyridine-3-carboxylate sodium	MI, 14, 6359	J Indian Med Assoc. 1990 Jul 88(7):191-2	02.05.1967	Withdrawn	Yes	J01MB02		Chemical classification (according ATC code)	Quinolone		Oral		Plasmatic proteins	Liver	Hydroxynalidixic acid	4000	Blurred vision, Confusion, Diarrhoea, Dizziness, Drowsiness, Headache, Hypersensitivity reactions, Intracranial hypertension, Nausea, Photosensitization			Infectiology, Metabolism	Antibacterial	fdiQbBMFaIPM@Dj{@eEEEDdUesUoMRCPQT@@@		1 - 2	93		1 - 2.5			
98-92-0	Nicotinamide	pyridine-3-carboxamide	MI, 14, 6523	Skinmed. 2011 Nov-Dec 9(6):360-5	23.03.1943			A11HA01					Oral	GI tract		Liver		150	Diarrhoea, Dizziness, Epigastric misery, Facial flushing, Headache, Nausea			Dermatology		dieH@DXDfyWaZ@@@@						85 - 100		
64-72-2	Chlortetracycline hydrochloride	(4S,4aS,5aS,6S,12aS)-7-Chloro-4-(dimethylamino)-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-1,4,4a,5,5a,6,11,12a-octahydro-2-tetracenecarboxamide hydrochloride	MI, 13, 2211	Ann Paediatr. 1964 203:401-12	13.09.1949	1950	Yes	J01AA03 	EtOH/H2O:50/50, MeOH	Chemical classification (according ATC code)	Tetracycline		Topical					1000	Hypersensitivity reactions, Photosensitization			Infectiology, Metabolism	Antiamebic, Antibacterial	edRTAD@N`YCGDjiko`HbFHrJJIQRZKGJKQSQQZpLBJVQYCKPDQTuMUUMULTtTQQQKIEH@		2						
35189-28-7	Norgestimate	[(3E,8R,9S,10R,13S,14S,17R)-13-ethyl-17-ethynyl-3-hydroxyimino-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-17-yl] acetate	MI, 14, 6703	J Reprod Med. 2001 Jul 46(7):647-61	14.08.1968	1986	Yes	G03AA11 					Oral			Liver	Active (17-deacetyl-norgestimate, Norgestrel)	0,25	Breast pain, Headache, Irritability, Menstrual disturbances, Nausea, Occular irritation, Weight gain	Nuclear receptor	Progesterone receptor	Endocrinology		fmoa`@I`PoHhmHeHlehTidliF\GI^cZjnjjjjZZjXQLTiZART@					16 - 17			
447-41-6	Nylidrin	4-{1-hydroxy-2-[(1-methyl-3-phenylpropyl)amino]propyl}phenol	MI, 14, 6732	J Am Geriatr Soc. 1979 May 27(5):235-6	12.02.1980			C04AA02										30	Dizziness, Drowsiness, Nausea, Palpitations, Rash			Cardiovascular	Vasodilator	ff}``@E@DdrnwONrmFEk@AUUU@@@@@		1.25						
132539-06-1	Olanzapine	2-methyl-4-(4-methyl-1-piperazinyl)-10H-thieno[2,3-b][1,5]benzodiazepine	MI, 14, 6822	Drugs. 2004 64(23):2709-26	19.09.1978	1996	Yes	N05AH03		Chemical classification (according ATC code)	Diazepine		Oral		Albumin, alpha-1-acid glycoprotein	Liver		10	Asthenia, Constipation, Dizziness, Dyskinesia, Eosinophilia, Erectile dysfunction, Glycemia, Hepatic enzyme levels elevated, Hypercholesterolemia, Mouth dryness, Orthostatic hypotension, Rash, Somnolence, Weight gain			Central Nervous System	Antipsychotic	ffsHB@LZLT@QdbbbQbbVbrvIRVgQrViZ`XJJjb@@		5 - 8	93		21 - 54		1.33	
909-39-7	Opipramol dihydrochloride	4-[3-(5H-dibenz[b,f]azepin- 5-yl)propyl]-1-piperazinethanol	MI, 14, 6853	Pharmacopsychiatry. 2004 Nov 37 Suppl 3:S189-97	22.09.1961	1962		N06AA05 										150	Constipation, Dizziness, Erectile dysfunction, Fatigue, Mouth dryness, Nasal congestion, Orthostatic hypotension, Palpitations, Rash, Tachycardia, Tremor, Weight gain			Central Nervous System	Antidepressant, Antipsychotic	fkoqA@JJ\`DQBHpCIJIKIIQQQQJKFRjc{mYzjjjj@HH@d@@@								
53716-50-0	Oxfendazol	methyl N-[6-(benzenesulfinyl)-1H-benzimidazol-2-yl]carbamate	MI, 14, 6935	Int J Parasitol. 1993 Jul 23(4):477-84	26.06.1979	1979		QP52AC02		Veterinary use, Veterinary use, Veterinary use, Veterinary use	Cattle, Dog, Goat, Sheep		Oral		Plasmatic proteins	Liver			Anorexia, Vomiting			Metabolism		ffcqb@CAcCIPABU\rjwomrmiw`m@@A@uMAPAP@			13			77		
54965-24-1	Tamoxifen citrate	(Z)-1-(p-Dimethylaminoethoxyphenyl)-1,2-diphenyl-1-butene	MI, 13, 9137	Breast Cancer (Dove Med Press). 2014 Feb 17 6:29-36	22.12.1965	1973	Yes	L02BA01	EtOH/H2O:50/50, MeOH, CH3COCH3				Oral		Plasmatic proteins	Liver	Active (4-hydroxytamoxifene)	20	Anemia, Arthralgia, Hair loss, Headache, Hepatic enzyme levels elevated, hot flushes, Menstrual disturbances, Nausea, Optic nerve damage, Thrombopenia, Thrombosis	Nuclear receptor	Estrogen receptor	Endocrinology, Oncology	Antineoplastic	eiUXA@@J`DBIEMCKLbfdrTTCbbRRtQbbbRbVQJZaiyEZjifhHHjdJ@H@@@`fP		4 - 7	99		168			
20559-55-1	Oxibendazol	methyl N-(6-propoxy-1H-benzimidazol-2-yl)carbamate	MI, 14, 6936	Am J Vet Res. 1976 Nov 37(11):1285-6	13.01.1966	1985		QP52AC07		Veterinary use, Veterinary use, Veterinary use	Cat, Dog, Swine		Oral			Liver			Diarrhoea, Vomiting			Metabolism		fdyq`@LLxACdfWeUWTTcVZij@Jh@@@						0 - 15		
82248-59-7	Tomoxetine hydrochloride	(R)-N-Methyl-gamma-(2-methylphenoxy)-benzenepropanamine hydrochloride	MI, 14, 863	Pharmacotherapy. 2004 Aug 24(8):1020-36	26.05.1982	2002	Yes	N06BA09		Therapeutic classification (according ATC code)	Centrally acting sympathomimetic		Oral		Albumin	Liver	Active (4-Hydroxyatomoxetine)	80	Anorexia, Constipation, Epigastric misery, Erectile dysfunction, Fatigue, Headache, Hot flushes, Insomnia, Mouth dryness, Nausea, Urinary troubles, Weight loss			Central Nervous System		fbeaB@HpADXEEEEDhdTmeNBf`h`HBHHX`@		3	98	63 - 94	5		0.85	
100490-36-6	Tosufloxacin hydrochloride	7-(3-Amino-1-pyrrolidinyl)-1-(2,4-difluorophenyl)-6-fluoro-4-oxo-1,4-dihydro-1,8-naphthyridine-3-carboxylic acid hydrochloride	MI, 14, 9555	Clin Ther. 1994 Sep-Oct 16(5):819-23	31.10.1985	1990		Not yet attributed											Hepatotoxicity, Nephrotoxicity, Thrombopenia			Infectiology, Metabolism	Antibacterial	eg`RLB@JFCLoNa`HbBPfdKiC@eEDeDdeEDUCEE]pIXxDel]@PUUMU@tADdEe@@								
27203-92-5	Tramadol hydrochloride	(1R,2R)-2-[(dimethylamino)methyl]-1-(3-methoxyphenyl)cyclohexan-1-ol hydrochloride	MI, 14, 9566	Drugs Today (Barc). 2008 Nov 44(11):827-36	28.03.1972	1977	Yes	N02AX02		Chemical classification (according ATC code), New therapeutic use, Reference	Opioid, Premature ejaculation, Urology. 2013 Jan 81(1):98-103		Oral	GI tract	Plasmatic proteins	Liver	Active and inactive (demethyl derivative)	300	Blurred vision, Euphoria, Headache, Somnolence, Sweat, Vertigo, Vomiting	Nuclear receptor, Nuclear receptor, Nuclear receptor	Opioid receptor mu, Opioid receptor delta, Opioid receptor kappa	Central Nervous System	Analgesic	fbe`b@HpTBHpJJYJFSQIF\ExM@AUUUQHdmH@			20	70 - 90	5 - 7		3 - 4	
97322-87-7	Troglitazone	5-[[4-[(6-hydroxy-2,5,7,8-tetramethyl-3,4-dihydrochromen-2-yl)methoxy]phenyl]methyl]-1,3-thiazolidine-2,4-dione	MI, 14, 9769	Handb Exp Pharmacol. 2010 (196):419-35	02.05.1985	Withdrawn (2006)	Yes	A10BG01		Chemical classification (according ATC code)	Thiazolidinedione		Oral					400	Asthenia, Dizziness, Headache, Hepatic enzyme levels elevated, Hepatotoxicity, Hypoglycemia, Nausea	Nuclear receptor	Peroxisome proliferator-activated receptor (PPAR) gamma	Metabolism	Antidiabetic, Anti-inflammatory	eodXJH@BLNGHg`@cIEEBmDedeHeieEEbJCKJfimjZf@Bjj`BJh`@@								
50-44-2	Mercaptopurine	3,7-dihydropurine-6-thione	MI, 14, 5871	Aliment Pharmacol Ther. 2001 Nov 15(11):1699-708	21.12.1954	1953	Yes	L01BB02		Chemical classification (according ATC code), Therapeutic classification (according ATC code)	Purine analogue, Antimetabolite	Yes				Liver	Active (6-thiouric acid)		Anorexia, Arthralgia, Bone marrow suppression, Diarrhoea, Hypersensitivity reactions, Vomiting	Enzyme	Hypoxanthine-guanine phosphoribosyltransferase	Immunology, Oncology	Immunosuppressant	det``Dki@HRYYUnFVjVi@@		2.2		5 - 37				
not available	Nicergoline	[(8beta)-10-methoxy-1,6-dimethylergolin-8-yl]methyl 5-bromopyridine-3-carboxylate	MI, 13, 6521	Clin Drug Investig. 2008 28(9):533-52	22.04.1975	1988 Withdrawn (2013)		C04AE02 		Chemical classification (according ATC code)	Ergot alkaloids		Oral	GI tract		Liver	Active (Lumilysergol)		Dizziness, Epigastric misery, Facial flushing			Cardiovascular	Anti-ischemic, Vasodilator	eol\LH@BGCaID`LSHhdeidhdhhlhldhZFO@faekmch@Ijjjj``XbbptgbB`@					1			
90-84-6	Amfepramone hydrochloride	2-(diethylamino)-1-phenylpropan-1-one	MI, 13, 3153	Med J Aust. 1975 Jan 4 1(1):13-5	26.09.1961	1957		A08AA03				Yes	Oral	GI tract		Liver	Amphetamine, Methamphetamine	75	Cardiac toxicity, Depression, Hypersensitivity reactions, Hypertension, Pulmonary hypertension, Thrombosis, Urinary troubles			Central Nervous System		f`~aB@NPADHKLrmzjsPTEEDBD@@					4 - 6			
70-30-4	Hexachlorophene	3,4,6-trichloro-2-[(2,3,5-trichloro-6-hydroxyphenyl)methyl]phenol	MI, 14, 4680	Clin Pediatr (Phila). 1977 Apr 16(4):342-51	29.07.1941	1949	Yes	D08AE01		Chemical classification (according ATC code)	Phenol and derivative		Topical	Skin					Hypersensitivity reactions, Photosensitization			Infectiology	Antiseptic	fjm@a`IAADDbMQChaLPVHRYfu^ynvBcfBBJ`bH`@@								
979-32-8	Estradiol Valerate	(17beta)-3-hydroxyestra-1,3,5(10)-trien-17-yl valerate	MI, 14, 3703	Maturitas. 1988 Dec 10(4):343-52	25.02.1941	1953	Yes	Not yet attributed											Carcinogenic, Depression, Dizziness, Hair loss, Headache, Hepatic enzyme levels elevated, Hypercholesterolemia, Hypertension, Migraine, Nausea, Oedema, Palpitations, Thrombosis, Weight gain			Endocrinology	Contraceptive	fewA`@@HgdTRTRdRRlrTrVd[p\ezMjjjjjj@BjJDSEJN`T@								
773-76-2	Chloroxine	5,7-dichloroquinolin-8-ol	MI, 14, 2175	G Ital Dermatol Venereol. 1985 Mar-Apr 120(2):XVII-XXIII	16.03.1976	1976	Yes	Not yet attributed											Hair discoloration, Irritation, Rash			Dermatology, Metabolism		dk^HPNHHbXaIf^UvGS``B@@@@								
1173-88-2	Oxacillin sodium	(2S,5R,6R)-3,3-dimethyl-6-[(5-methyl-3-phenyl-1,2-oxazole-4-carbonyl)amino]-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate sodium	MI, 14,6904	Antimicrob Agents Chemother. 2008 Nov 52(11):3905-8	12.09.1962	1963	Yes	J01CF04		Chemical classification (according ATC code)	Beta-lactamase resistant penicillin		Oral		Plasmatic proteins	Liver (45%)		2000	Confusion, Diarrhoea, Fever, Hypersensitivity reactions, Nausea, Rash			Infectiology, Metabolism	Antibacterial	fkqQBFJshuoU@DGtC\^\dTbbJTRltTTtJPpsdluWnjjjYfej@BhpbXgH@			90 - 95		0.5 - 1			
51022-69-6	Amcinonide	2-[(1S,2S,4R,8S,9S,11S,12R,13S)-12'-fluoro-11'-hydroxy-9',13'-dimethyl-16'-oxo-5',7'-dioxaspiro[cyclopentane-1,6'-pentacyclo[10.8.0.02,9.04,8.013,18]icosane]-14',17'-dien-8'-yl]-2-oxoethyl acetate	MI, 13, 387	Cutis. 1985 May 35(5):489-92	22.07.1981	1979	Yes	D07AC11		Chemical classification (according ATC code)	Corticosteroid, potent		Topical	Skin					Irritation, Skin dryness			Metabolism	Anti-inflammatory	ebYPNH@AJfaegdPICHiEHhhhblXdiliiddXiyiXyDdTMM|CUUUSMUSUMUTuUPdBPVDHRd|bTJP@								
52-66-4	D,L-Penicillamine	2-amino-3-methyl-3-sulfanylbutanoic acid	MI, 14, 7088	Am J Clin Dermatol. 2013 Jun 14(3):223-33	29.11.1949	1953	Yes	M01CC01					Oral	GI tract	Collagen			500	Diarrhoea, Interstitial pulmonary fibrosis, Nephrotoxicity, Pruritus, Taste alteration, Thrombopenia			Central Nervous System	Analgesic	diFD`JxPBLbdTljjZDh@		2	80 - 100		1 - 5	50 - 70		
80621-81-4	Rifaximin	(2S,16Z,18E,20S,21S,22R,23R,24R,25S,26S,27S,28E)-5,6,21,23,25-pentahydroxy-27-methoxy-2,4,11,16,20,22,24,26-octamethyl-2,7-(epoxypentadeca-[1,11,13]trienimino)benzofuro[4,5-e]pyrido[1,2-a]-benzimida-zole-1,15(2H)-dione,25-acetate	MI, 14,8220	Curr Opin Gastroenterol. 2010 Jan 26(1):17-25	16.09.1981	1988	Yes	D06AX11 	alcohols, ethyl acetate, chloroform, toluene				Oral		Plasma proteins				Anemia, Arthralgia, Depression, Dizziness, Dyspnea, Epigastric misery, Fatigue, Headache, Nausea, Oedema, Pruritus, Rash			Infectiology, Metabolism	Antibacterial	eiw|M@@DCL`EJ`T\QUPzv|bbTTVbbtTRTRVfbVftVaffLRfRRflBbrzNf~QIcSZfBbDJjBZJZfjjjfjihRjPjKJEDifZjuQqNXDMd{@		0.8	67.5		1.8	0 - 15		
3380-34-5	Triclosan	5-chloro-2-(2,4-dichlorophenoxy)phenol	MI, 14, 9656	Am J Infect Control. 2000 Apr 28(2):184-96	14.04.1970	1960	Yes	D08AE04		Chemical classification (according ATC code)	Phenol and derivative		Topical	Skin					Hypersensitivity reactions			Infectiology	Antibacterial, Antifungal, Antiseptic	fhi@c@BFADRb@qFQQQIIPq[LD{tDDPPD@@@								
06.04.2181	Canrenoic acid potassium salt	3-[(8R,9S,10R,13S,14S,17R)-17-hydroxy-10,13-dimethyl-3-oxo-2,8,9,11,12,14,15,16-octahydro-1H-cyclopenta[a]phenanthren-17-yl]propanoic acid potassium	MI, 12, 1795	Am J Hypertens. 1993 Apr 6(4):295-301.	09.05.1978	1971		C03DA02 	H2O	Therapeutic classification (according ATC code)	Potassium-sparing agent								Ataxia, Confusion, Drowsiness, Gynecomastia, Headache, Hirsutism, Menstrual disturbances			Endocrinology	Antihypertensive, Diuretic	fmw@RBHUflFPBU}`RbRfTRrTtReRcAJMxJRmMSUUUUTuTpRTcItBdh@					2.8 - 11.2			
329-63-5	Racepinephrine hydrochloride	[2-(3,4-dihydroxyphenyl)-2-hydroxyethyl]-methylazanium chloride	MI, 14,3619	CJEM. 2007 Jul 9(4):304-8	12.03.1940	1951	Yes	Not yet attributed											Blurred vision, Dizziness, Dyspnea, Headache, Hypertension, Sweat			Cardiovascular, Respiratory	Bronchodilator, Vasoconstrictor	dgnL`CbeBHPVYwmxXHBjbIH@								
50-18-0	Cyclophosphamide	N,N-bis(2-chloroethyl)-2-oxo-1,3,2lambda 5-oxazaphosphinan-2-amine	MI, 14,2747	J Am Acad Dermatol. 1984 Dec 11(6):1115-26	23.01.1962	1957	Yes	L01AA01		Chemical classification (according ATC code)	Alkylating agent	Yes				Liver	4-hydroxycyclophosphamide,aldophosphamide, acrolein		Blurred vision, Dizziness, Hair loss, Hypersensitivity reactions, Nausea, Neutropenia, Skin coloration, Thrombopenia, Vomiting			Immunology, Oncology	Antineoplastic, Immunosuppressant	dg]DpLEnBHKpNHRUfgUvzjZjj`j@@					4 - 7			
99-66-1	Valproic acid	2-propylpentanoic acid	MI, 13, 9979	Drugs. 1994 Feb 47(2):332-72	13.06.1967	1967	Yes	N03AG01		Chemical classification (according ATC code)	Fatty acid derivatives	Yes	Oral		Plasmatic proteins	Liver		1500	Ataxia, Diarrhoea, Dizziness, Headache, Hypersensitivity reactions, Menstrual disturbances, Nausea, Somnolence, Thrombopenia, Weight gain			Central Nervous System	Anticonvulsant	dedD@@QInUVjj`@			90	100	15 - 17			
21679-14-1	Fludarabine	(2R,3S,4S,5R)-2-(6-amino-2-fluoropurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol	MI, 14,4126	Leuk Res. 2013 Sep 37(9):986-94	02.11.1982	1991	Yes	L01BB05		Chemical classification (according ATC code), Therapeutic classification (according ATC code)	Purine analogue, Antimetabolite		Parenteral			Intracellular	Active (phosphate metabolites)		Anorexia, Blurred vision, Bone marrow suppression, Cough, Diarrhoea, Fatigue, Fever, Mouth ulcer, Peripheral neuropathy, Rash, Vomiting			Oncology	Antineoplastic	fbmhR@DXXJQoIrBPrJIJKJFIQYTyIS`pAEUUUPqMJt]@p@								
4291-63-8	Cladribine	(2R,3S,5R)-5-(6-amino-2-chloropurin-9-yl)-2-(hydroxymethyl)oxolan-3-ol	MI, 14, 2337	Drugs. 1993 Nov 46(5):872-94	05.03.1986	1993	Yes	L01BB04		Chemical classification (according ATC code), New therapeutic use, Reference, Therapeutic classification (according ATC code)	Purine analogue, Immunomodulator, Clin Immunol. 2012 Jan 142(1):68-75, Antimetabolite	Yes	Parenteral		Plasmatic proteins	Intracellular	Active (2-chlorodesoxyadenosine-5'-monophosphate, 2-chlorodesoxyadenosine-5'-triphosphate)		Anorexia, Bone marrow suppression, Cough, Dizziness, Headache, Immunodepressor, Rash, Vomiting			Oncology	Antineoplastic	fluib@DXXJQhiADYEDeEeCDdeSdeN}@DUUUTMcR]OP@			5 - 50		3 - 22		9.2	
50-03-3	Cortisol acetate	[2-[(8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-10,13-dimethyl-3-oxo-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-17-yl]-2-oxoethyl] acetate	MI, 14,4787	Dis Colon Rectum. 2003 Jul 46(7):929-36	03.09.1957	1981	Yes	H02AB09		Chemical classification (according ATC code)	Glucocorticoid		Oral			Liver, Kidney		30	Acne, Euphoria, Hypertension, Hypokalemia, Insomnia, Menstrual disturbances, Weight gain	Nuclear receptor	Glucocorticoid receptor	Metabolism	Anti-inflammatory	ek`PF@@@KJnimlbbRfbTLVRbTlrThXTL|BRJZZjjjjjfijkaaBSRFSrAQJ@@		1						
19767-45-4	Mesna	2-sulfanylethanesulfonate sodium	MI, 14,5909	Semin Oncol. 1992 Dec 19(6 Suppl 12):65-71	23.11.1954	1986	Yes	R05CB05		Mechanism	Acrolein antidote		Oral	Small intestine		Liver	Dimesna or mesna-disulfure	1200	Arthralgia, Depression, Diarrhoea, Fatigue, Headache, Hypotension, Irritability, Nausea, Rash, Tachycardia			Oncology	Chemoprotectant	daXLqHS@BFBNtL{irRRhKU@@				50				
39809-25-1	Penciclovir	2-amino-9-[4-hydroxy-3-(hydroxymethyl)butyl]-3H-purin-6-one	MI, 14, 7083	Skin Pharmacol Physiol. 2004 Sep-Oct 17(5):214-8	22.05.1985	1996	Yes	J05AB13					Topical						Headache, Pruritus, Rash, Taste alteration			Infectiology, Metabolism	Antiviral	fdyi`@DTxIP@qrJIQQJiJILyISUKMUUT@@								
20537-88-6	Amifostine	2-(3-aminopropylamino)ethylsulfanylphosphonic acid	MI, 13, 403	Oncologist. 2007 Jun 12(6):738-47	01.07.1975	1995	Yes	V03AF05					Parenteral					1700	Arrhythmia, Dizziness, Drowsiness, Hiccup, Hot flushes, Hypertension, Hypocalcemia, Hypotension, Nausea, Rash			Diagnostic		dcuLPNwBh@bOCIEHjdeSUUP@@					0.17			
2347-80-0	Thioproperazine dimesylate	N,N-dimethyl-10-[3-(4-methylpiperazin-1-yl)propyl]phenothiazine-2-sulfonamide methanesulfonic acid	MI, 12, 9494	J Clin Gastroenterol. 1982 Oct 4(5):445-9.	20.05.1975			N05AB08		Chemical classification (according ATC code)	Phenothiazine derivative							75	Blurred vision, Constipation, Drowsiness, Extrapyramidal syndrome, Insomnia, Lacrimal flow increased, Photosensitization, Priapism, Salivation increased, Sweat, Tremor, Weight gain			Central Nervous System	Antiemetic, Antipsychotic	eaYRAB@LMNchDO`XRZVP@cpH^BLPcIICEBeMDhldmhdlMI@yHhYxDTul\mT@QTDDUURtmDP@@								
58895-64-0	Nalmefene hydrochloride	(4R,4aS,7aS,12bS)-3-(cyclopropylmethyl)-7-methylidene-2,4,5,6,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinoline-4a,9-diol hydrochloride	MI, 14, 6360	J Emerg Med. 1998 May-Jun 16(3):471-5	28.01.1986	1995	Yes	N07BB05		New therapeutic use, Reference	Alcohol withdrawal, Expert Opin Investig Drugs. 2010 Nov 19(11):1451-9		Parenteral		Plasmatic proteins	Liver			Arrhythmia, Confusion, Depression, Diarrhoea, Dizziness, Fever, Headache, Mouth dryness, Nausea, Pruritus, Somnolence, Urinary troubles, Vasodilatation			Central Nervous System		feoab@JpDdDQ`TTTTRbfVTSrTiqWkQCdmQshJ`ZbjjjbjIb\Uef@@		2.3	45		10.8		8.6	
76-74-4	Pentobarbital	5-ethyl-5-pentan-2-yl-1,3-diazinane-2,4,6-trione	MI, 14,7130	Pediatr Neurol. 1999 Apr 20(4):259-64.	21.02.1951	1930	Yes	N05CA01		Chemical classification (according ATC code)	Barbiturate	Yes	Oral		Plasmatic proteins	Liver		100	Bradycardia, Drowsiness, Headache, Hepatic enzyme levels elevated, Nausea, Respiratory depression, Sedation, Vertigo			Central Nervous System	Anesthetic, Hypnotic, Sedative	f`aQ`@DX@pVQQIQZZIFgFjYjjjDj@@		0.5 - 1	35 - 45		15 - 50			
84057-84-1	Lamotrigine	6-(2,3-dichlorophenyl)-1,2,4-triazine-3,5-diamine	MI, 14,5353	Expert Opin Pharmacother. 2003 Feb 4(2):243-51	07.01.1981	1990	Yes	N03AX09		New therapeutic use, Reference	Antidepressant, J Clin Psychiatry. 2013 Jul 74(7):675-84		Oral		Plasmatic proteins	Liver	Inactive (2-N-glucuronide conjugate, 5-N-glucuronide conjugate)	300	Arthralgia, Diarrhoea, Dizziness, Headache, Insomnia, Irritability, Mouth dryness, Nausea, Rash, Somnolence	Ion channel	Voltage-gated sodium channel	Central Nervous System	Anticonvulsant	f`qhA@IZM[pH`dQdTTTraTQxHshH`@H`@@		2.5	55	98	33		0.9 - 1.22	
97240-79-4	Topiramate	[(3aS,5aR,8aR,8bS)-2,2,7,7-tetramethyl-5,5a,8a,8b-tetrahydrodi[1,3]dioxolo[4,5-a:5',3'-d]pyran-3a-yl]methyl sulfamate	MI, 14,9547	CNS Neurosci Ther. 2008 Summer 14(2):120-42	24.04.1985	1995	Yes	N03AX11		New therapeutic use, Reference	Anorectic, Epilepsy Res. 2011 Aug 95(3):189-99		Oral	GI tract	Plasmatic proteins	Liver	Inactive	300	Anorexia, Ataxia, Blurred vision, Depression, Diarrhoea, Dizziness, Fatigue, Insomnia, Irritability, Memory loss, Paresthesia, Somnolence, Taste alteration, Weight loss	Enzyme, Ion channel, LGIC, LGIC, LGIC	Carbonic anhydrase, Voltage-gated sodium channel, GABA-A receptor, Glutamate [AMPA] receptor, Kainate receptor	Central Nervous System	Anticonvulsant, Antimigraine	ffc`J@BPQc`cQR@HrRPyRIJISHzZMYr\kUUUUUUUDXiRt\`@		2 - 3	13 - 17		21	81	0.55 - 0.8	
